indelsubtype	indeltype_short	type
A|[+T]Rep=5|G	[+T]Rep=5	Ins
C|[+T]Rep=5|A	[+T]Rep=5	Ins
C|[+T]Rep=5|C	[+T]Rep=5	Ins
C|[+T]Rep=5|G	[+T]Rep=5	Ins
G|[+T]Rep=5|A	[+T]Rep=5	Ins
G|[+T]Rep=5|C	[+T]Rep=5	Ins
G|[+T]Rep=5|G	[+T]Rep=5	Ins
A|[+T]Rep=6|A	[+T]Rep=6	Ins
A|[+T]Rep=6|C	[+T]Rep=6	Ins
A|[+T]Rep=6|G	[+T]Rep=6	Ins
C|[+T]Rep=6|A	[+T]Rep=6	Ins
C|[+T]Rep=6|C	[+T]Rep=6	Ins
C|[+T]Rep=6|G	[+T]Rep=6	Ins
G|[+T]Rep=6|A	[+T]Rep=6	Ins
G|[+T]Rep=6|C	[+T]Rep=6	Ins
G|[+T]Rep=6|G	[+T]Rep=6	Ins
A|[+T]Rep=7|A	[+T]Rep=7	Ins
A|[+T]Rep=7|C	[+T]Rep=7	Ins
A|[+T]Rep=7|G	[+T]Rep=7	Ins
C|[+T]Rep=7|A	[+T]Rep=7	Ins
C|[+T]Rep=7|C	[+T]Rep=7	Ins
C|[+T]Rep=7|G	[+T]Rep=7	Ins
G|[+T]Rep=7|A	[+T]Rep=7	Ins
G|[+T]Rep=7|C	[+T]Rep=7	Ins
G|[+T]Rep=7|G	[+T]Rep=7	Ins
A|[+T]Rep=8|A	[+T]Rep=8	Ins
A|[+T]Rep=8|C	[+T]Rep=8	Ins
A|[+T]Rep=8|G	[+T]Rep=8	Ins
C|[+T]Rep=8|A	[+T]Rep=8	Ins
C|[+T]Rep=8|C	[+T]Rep=8	Ins
C|[+T]Rep=8|G	[+T]Rep=8	Ins
G|[+T]Rep=8|A	[+T]Rep=8	Ins
G|[+T]Rep=8|C	[+T]Rep=8	Ins
G|[+T]Rep=8|G	[+T]Rep=8	Ins
A|[+T]Rep=9|A	[+T]Rep=9	Ins
A|[+T]Rep=9|C	[+T]Rep=9	Ins
A|[+T]Rep=9|G	[+T]Rep=9	Ins
C|[+T]Rep=9|A	[+T]Rep=9	Ins
